reco_widget,lebensbereich,adp_widget_impressions,checkout_count,checkout_pct
RecoAlternative,,1491,0,0.0
RecoComplementary,,1497,0,0.0
RecoSeries,,40,0,0.0
Spx-Cinema,,1447,0,0.0
RecoAlternative,Einrichten & Wohnen,3469604,2433,0.07
RecoComplementary,Einrichten & Wohnen,3447857,387,0.011
RecoSeries,Einrichten & Wohnen,1940592,624,0.032
Spx-Cinema,Einrichten & Wohnen,3479940,1051,0.03
RecoAlternative,Fashion & Lifestyle,2600388,2903,0.112
RecoComplementary,Fashion & Lifestyle,2584449,535,0.021
RecoSeries,Fashion & Lifestyle,887691,589,0.066
Spx-Cinema,Fashion & Lifestyle,2600755,1075,0.041
RecoAlternative,Garten & Heimwerken,541610,521,0.096
RecoComplementary,Garten & Heimwerken,541005,77,0.014
RecoSeries,Garten & Heimwerken,136989,59,0.043
Spx-Cinema,Garten & Heimwerken,539409,198,0.037
RecoAlternative,Gesundheit,51537,115,0.223
RecoComplementary,Gesundheit,51397,17,0.033
RecoSeries,Gesundheit,5075,7,0.138
Spx-Cinema,Gesundheit,51602,44,0.085
RecoAlternative,Lebensmittel & Drogerie,209600,251,0.12
RecoComplementary,Lebensmittel & Drogerie,206577,68,0.033
RecoSeries,Lebensmittel & Drogerie,37909,23,0.061
Spx-Cinema,Lebensmittel & Drogerie,205618,65,0.032
RecoAlternative,Mobilität & KFZ,39124,26,0.066
RecoComplementary,Mobilität & KFZ,43529,6,0.014
RecoSeries,Mobilität & KFZ,7337,5,0.068
Spx-Cinema,Mobilität & KFZ,44097,12,0.027
RecoAlternative,Moblität & KFZ,631,0,0.0
RecoComplementary,Moblität & KFZ,629,0,0.0
RecoSeries,Moblität & KFZ,12,0,0.0
Spx-Cinema,Moblität & KFZ,629,0,0.0
RecoAlternative,Sport & Freizeit,1603611,1537,0.096
RecoComplementary,Sport & Freizeit,1595828,258,0.016
RecoSeries,Sport & Freizeit,634642,330,0.052
Spx-Cinema,Sport & Freizeit,1603907,502,0.031
RecoAlternative,Technik & Medien,1435794,1507,0.105
RecoComplementary,Technik & Medien,1425545,198,0.014
RecoSeries,Technik & Medien,486249,229,0.047
Spx-Cinema,Technik & Medien,1341170,442,0.033
